iphone_x,iphone_y,galaxy_x,galaxy_y,htc_x,htc_y,lg_x,lg_y,pixel_x,pixel_y
0,0,-0.89205766,-0.00777927,48.44822858,60.79044504,43.15685562,-52.0203277,108.4119941,0
0,0,8.16828647,-3.22225286,62.89348928,77.0666358,-8.31228675,70.13149435,94.14546631,0
0,0,-1.08041101,-16.07055365,48.03406636,56.04223702,51.59798318,-58.68244796,108.2529707,0
0,0,-15.02283154,18.330231,64.35561804,78.95988063,-7.27495838,84.22814423,82.30214047,0
0,0,-29.30490916,12.04908527,51.27633141,78.39798546,-23.74943896,80.16754491,59.71428641,0
0,0,-21.21815315,16.60396597,59.23844966,79.36657339,-13.97796821,81.75484703,69.49578334,0
0,0,-24.32594045,20.59108383,60.75719445,80.26200166,-12.15524091,85.26977603,67.9273674,0
0,0,8.4489861,-24.76776138,56.9554919,74.68795892,-17.53010121,60.93028182,84.59607326,0
0,0,21.43884633,-17.88152702,67.66017283,76.01614181,-6.22636294,65.45513237,93.01171464,0
0,0,23.73561178,-19.88008739,70.10626082,75.38701283,-2.04616746,66.07509593,96.26065679,0
0,0,22.33495233,-18.54378509,67.95647833,75.17359163,-4.35197674,65.38529381,95.07350469,0
0,0,-20.2331519,19.47520417,60.40762685,81.81853549,-14.42505853,81.4265637,72.03855309,0
0,0,19.69712678,-17.82143119,66.80725805,75.89639596,-5.76900458,64.70458543,94.21144522,0
0,0,-22.22228994,25.80939877,65.25903279,80.6483532,-7.46908127,88.69524245,72.76924292,0
0,0,-21.32454246,23.56527229,64.34759744,80.38519215,-8.51459999,87.61143296,73.83065788,0
0,0,-22.10912491,23.95553683,63.69122005,80.29123279,-9.19432111,87.15139836,72.30049188,0
0,0,15.76418479,-16.38942828,63.977001,76.40890605,-9.22748237,64.06564139,91.66009721,0
0,0,24.29282824,-16.97508787,70.69655682,75.25930728,-2.44006561,67.17109446,97.61866918,0
0,0,28.04591483,-18.8848622,73.81353145,74.7938991,1.47599452,67.02168823,100.6246608,0
0,0,27.75778843,-19.7520317,73.47372329,74.4897282,1.06602529,67.10618047,100.3426084,0
0,0,28.63051721,-18.92245108,73.64724895,75.43680876,0.78457418,66.60477496,100.728484,0
0,0,28.78998056,-18.13378615,73.92815228,75.52313942,2.00822431,67.1294982,101.522392,0
0,0,29.00322659,-18.65151579,75.29348591,75.69272227,3.457393,67.61328325,102.186306,0
0,0,-22.09315231,31.90129052,70.9935549,80.03221174,-0.4696563,93.42386625,74.61775819,0
0,0,-22.39690052,30.89218999,69.4565132,80.34713692,-2.64302342,91.61859888,74.59236487,0
0,0,-21.31116124,28.5365026,68.71102935,81.36922553,-4.4292991,88.67714525,75.87789113,0
0,0,-22.55726217,32.20253504,71.33709661,80.2615327,-0.38196823,92.4905574,74.99413677,0
0,0,29.50489577,-18.21772216,76.09983872,75.67675363,3.6155732,67.66480541,102.8179059,0
0,0,28.82450186,-19.20493214,75.98799562,75.8004307,2.59554366,67.13071561,102.2247743,0
0,0,-10.4087752,23.33696395,71.21497902,81.50145521,-4.59944712,87.61651977,79.95924401,0
0,0,-18.54728136,25.96806106,70.79284801,80.7419899,-3.1628926,89.34738903,77.03900181,0
0,0,-18.21894371,30.23087215,73.36601805,80.52117861,-0.10337003,92.00783479,76.99921975,0
0,0,-17.06734449,26.33889854,72.30857671,80.76868375,-2.60104145,90.23940172,78.17535893,0
0,0,-18.21074247,28.14167815,72.3888568,80.69865616,-1.27466948,91.00642258,77.67873921,0
0,0,-17.45446899,29.08841863,73.62230847,80.3951742,-0.63077798,91.44947825,78.28878037,0
0,0,-20.04419368,28.85101616,72.48666772,80.17283469,-1.21007395,92.14177148,76.65496607,0
0,0,28.55499398,-19.4568401,76.35704974,75.33038981,2.98420857,68.57366973,102.4431461,0
0,0,-22.02714295,31.16070477,72.46249413,79.80303418,-0.36734107,94.10119892,76.12757402,0
0,0,30.72835011,-21.10895597,77.79148065,75.43813164,4.69794351,67.24124722,104.0232218,0
0,0,-21.74058117,30.50535775,72.30092489,79.87007168,-0.69157649,93.84554612,76.31469897,0
0,0,28.90694895,-19.72641182,76.25289154,75.32933245,2.7123962,68.87732378,102.036939,0
0,0,28.68784347,-19.32174066,75.90417518,75.57354438,3.38065293,67.70195777,102.7327178,0
0,0,27.81757284,-20.47689599,74.98024146,75.33103877,2.1783351,67.67266285,101.6157726,0
0,0,28.43508872,-20.12764096,75.60143281,75.28353751,3.00777321,67.82145625,102.4735385,0
0,0,26.68966336,-18.96015822,75.0159147,75.64446804,2.10604489,68.42428539,101.6062588,0
0,0,28.00472736,-18.89734812,75.89140556,75.70522827,2.40707298,67.79034194,102.2238994,0
0,0,27.30896511,-20.57709981,75.16584136,75.57331792,2.39432075,67.67625817,101.8318052,0
0,0,29.46458,-19.80917337,77.01901932,75.56088016,3.55359274,67.87353048,102.9327089,0
0,0,26.61133467,-19.88970648,74.39924024,76.25517298,0.37712105,66.76195146,100.3762406,0
0,0,27.44457243,-19.62098731,75.2094628,76.1756985,1.35139639,67.44873471,100.8687601,0
0,0,-19.88031114,24.60205859,70.23031696,80.78632304,-4.42963178,89.77424927,76.59494111,0
0,0,26.7149282,-18.9534342,75.85189846,76.59913885,2.26401153,66.23650206,101.4876486,0
0,0,26.79425792,-20.85317612,75.47381769,75.94580319,1.82665624,66.30523704,101.2570708,0
0,0,-5.08866709,-2.87441506,61.22046656,80.78867528,-16.5122316,70.43283009,80.50973242,0
0,0,6.654185,-17.59361464,64.0129504,77.05715694,-11.94803047,65.8105634,87.84518754,0
0,0,16.93254477,-19.55718822,69.38060439,76.35625756,-6.31716247,66.39201839,94.00361315,0
0,0,-29.21345926,16.17034451,62.52772941,80.5398422,-14.39091484,85.41163178,60.80003384,0
0,0,16.28226318,-26.18032603,66.24781945,76.33443204,-10.37082236,63.14946816,88.10553279,0
0,0,21.96103814,-25.59198047,70.14263765,75.43469956,-5.91022831,65.39526593,91.83197319,0
0,0,19.2579051,-25.43221925,68.15599086,76.31640506,-8.55425886,64.76752177,89.41994244,0
0,0,8.03990167,-24.78229012,61.27219399,77.09945365,-16.40361005,63.74867738,84.01632991,0
0,0,-26.45600617,10.00391627,58.27419677,82.21684226,-19.76247827,81.86155615,65.64016879,0
0,0,-27.9407923,15.65622058,61.91305401,81.69354304,-14.8489984,85.58335044,67.42617325,0
0,0,7.5893638,-21.88770167,59.9231046,78.2936381,-17.98806199,62.21608307,82.73347863,0
0,0,14.93855744,-24.16938212,65.8270179,77.27140401,-12.72929021,64.3618263,87.24327353,0
0,0,19.38031092,-23.87474565,68.28989988,77.05024932,-7.99094521,65.45851465,91.30223777,0
0,0,23.33834746,-24.61946953,71.66372188,75.85375698,-5.00390116,65.37750184,93.75369711,0
0,0,17.6472836,-26.36496401,65.72649649,76.84324753,-11.81010176,63.03157309,89.27258917,0
0,0,10.94375727,-24.000549,61.48133959,77.48391365,-16.25554451,62.34314787,84.18429305,0
