iphone_x,iphone_y,galaxy_x,galaxy_y,htc_x,htc_y,lg_x,lg_y,pixel_x,pixel_y
0,0,-2.44750154,1.12705429,184.1388598,250.642809,-44.54230272,218.4555447,291.6037293,0
0,0,-68.31,32.13140863,168.5681042,259.6681438,-71.71779808,244.6164634,214.9289944,0
0,0,-65.67626035,49.59407155,183.2887362,265.3586284,-57.1200855,255.5501522,232.0232771,0
0,0,-60.31459169,53.24910444,189.4205832,264.2248585,-49.2864582,259.9001229,239.1859869,0
0,0,-63.02492074,56.44126484,195.0149451,262.5869227,-43.8880213,265.7869863,242.059504,0
0,0,-65.71773588,76.41447513,209.42619,264.5695601,-27.53972241,280.6698019,244.8348883,0
0,0,-62.56681796,78.56924678,213.1541281,265.8640083,-25.15292088,277.9398364,248.2767225,0
0,0,-43.42398648,67.88989192,220.0646353,266.4282827,-24.59623217,273.9014337,256.5475431,0
0,0,-45.11664006,70.73645909,225.2253047,265.828726,-19.80038476,277.9032205,258.6002927,0
0,0,-63.07039998,78.03134627,222.5399501,263.1203238,-18.66480844,287.2762272,251.9422226,0
0,0,73.41535811,-48.96483858,232.9659987,250.0550539,-4.18228777,219.7483492,321.2507379,0
0,0,71.08465914,-47.67265497,233.3352463,250.9283573,-4.91290715,219.4148936,320.973833,0
0,0,65.34975163,-44.61065471,230.2633757,254.2974086,-11.18712555,216.343422,314.8264234,0
0,0,-37.72087806,-4.92486045,189.7066013,262.5758608,-58.53220711,229.6366339,255.7100839,0
0,0,-84.62496846,37.10158244,191.294018,266.6206449,-58.98359208,262.0633152,210.8281645,0
0,0,-68.39495666,16.0208559,181.9059275,269.3153638,-72.02927705,246.3040315,220.5138885,0
0,0,-81.09590842,36.83597671,191.9593538,269.0633897,-60.99942245,262.2970457,221.3722405,0
